video,true_vel,true_camera_vel,pred_camera_vel,mape,rmse
23kmh,23.0,20.7,18.485658112502495,0.07114519753532379,4.114017494805598
31kmh,31.0,27.900000000000002,21.756877288678414,0.07114519753532379,4.114017494805598
34kmh,34.0,30.6,30.865791545135274,0.07114519753532379,4.114017494805598
55kmh,55.0,49.5,49.18125844196915,0.07114519753532379,4.114017494805598
68kmh,68.0,61.2,52.71940973554666,0.07114519753532379,4.114017494805598
71kmh,71.0,63.9,67.79048359231771,0.07114519753532379,4.114017494805598
72kmh,72.0,64.8,60.396644854935914,0.07114519753532379,4.114017494805598
80kmh_2,80.0,72.0,71.22193716002735,0.07114519753532379,4.114017494805598
88kmh,88.0,79.2,80.76893576305518,0.07114519753532379,4.114017494805598
