video,true_vel,true_camera_vel,pred_camera_vel,mape,rmse
23kmh,23,20.7,24.90681039906461,0.08413995647501653,4.538214547122418
31kmh,31,27.9,25.558484148705478,0.08413995647501653,4.538214547122418
34kmh,34,30.6,30.508543114924073,0.08413995647501653,4.538214547122418
55kmh,55,49.5,55.08267468800005,0.08413995647501653,4.538214547122418
68kmh,68,61.2,65.34535736733251,0.08413995647501653,4.538214547122418
71kmh,71,63.9,56.526954018554534,0.08413995647501653,4.538214547122418
72kmh,72,64.8,60.68456451267346,0.08413995647501653,4.538214547122418
80kmh_2,80,72.0,69.83762118068837,0.08413995647501653,4.538214547122418
88kmh,88,79.2,73.04813328524953,0.08413995647501653,4.538214547122418
